日期,1年
2023-11-07,2.2505
2023-11-08,2.2479
2023-11-09,2.2406
2023-11-10,2.2306
2023-11-13,2.2059
2023-11-14,2.1713
2023-11-15,2.1613
2023-11-16,2.1415
2023-11-17,2.1221
2023-11-20,2.1477
2023-11-21,2.2024
2023-11-22,2.3112
2023-11-23,2.3264
2023-11-24,2.3317
2023-11-27,2.3889
2023-11-28,2.3564
2023-11-29,2.3566
2023-11-30,2.3367
2023-12-01,2.3439
2023-12-04,2.3769
2023-12-05,2.3817
2023-12-06,2.3971
2023-12-07,2.3816
2023-12-08,2.3791
2023-12-11,2.3816
2023-12-12,2.3826
2023-12-13,2.3526
2023-12-14,2.3351
2023-12-15,2.3076
2023-12-18,2.2951
2023-12-19,2.3001
2023-12-20,2.3051
2023-12-21,2.2801
2023-12-22,2.2526
2023-12-25,2.2246
2023-12-26,2.2046
2023-12-27,2.1546
2023-12-28,2.1196
2023-12-29,2.0796
2023-12-31,2.0796
2024-01-02,2.1166
2024-01-03,2.1416
2024-01-04,2.1541
2024-01-05,2.1091
2024-01-08,2.1191
2024-01-09,2.0991
2024-01-10,2.1091
2024-01-11,2.0941
2024-01-12,2.0941
2024-01-15,2.0991
2024-01-16,2.1091
2024-01-17,2.1041
2024-01-18,2.0991
2024-01-19,2.0841
2024-01-22,2.0813
2024-01-23,2.0841
2024-01-24,2.0691
2024-01-25,2.0342
2024-01-26,2.0229
2024-01-29,1.9401
2024-01-30,1.8751
2024-01-31,1.8802
2024-02-01,1.8802
2024-02-02,1.8903
2024-02-04,1.8803
2024-02-05,1.8829
2024-02-06,1.9269
2024-02-07,1.9287
2024-02-08,1.9265
2024-02-09,1.9265
2024-02-18,1.9292
2024-02-19,1.9157
2024-02-20,1.8649
2024-02-21,1.8149
2024-02-22,1.7731
2024-02-23,1.7699
2024-02-26,1.767
2024-02-27,1.7739
2024-02-28,1.7863
2024-02-29,1.7871
2024-03-01,1.7833
2024-03-04,1.7612
2024-03-05,1.7732
2024-03-06,1.7574
2024-03-07,1.7578
2024-03-08,1.7525
2024-03-11,1.7575
2024-03-12,1.7975
2024-03-13,1.8175
2024-03-14,1.8475
2024-03-15,1.8325
2024-03-18,1.7825
2024-03-19,1.7725
2024-03-20,1.7725
2024-03-21,1.7625
2024-03-22,1.7625
2024-03-25,1.7875
2024-03-26,1.79
2024-03-27,1.7525
2024-03-28,1.7525
2024-03-29,1.7225
2024-04-01,1.7425
2024-04-02,1.7275
2024-04-03,1.7225
2024-04-07,1.7225
2024-04-08,1.7025
2024-04-09,1.6925
2024-04-10,1.7033
2024-04-11,1.7033
2024-04-12,1.6958
2024-04-15,1.7033
2024-04-16,1.7233
2024-04-17,1.7133
2024-04-18,1.6983
2024-04-19,1.6933
2024-04-22,1.6833
2024-04-23,1.6633
2024-04-24,1.6696
2024-04-25,1.6046
2024-04-26,1.6646
2024-04-28,1.6932
2024-04-29,1.7831
2024-04-30,1.6928
2024-05-06,1.7022
2024-05-07,1.7028
2024-05-08,1.7071
2024-05-09,1.7205
2024-05-10,1.7044
2024-05-11,1.7092
2024-05-13,1.6417
2024-05-14,1.6132
2024-05-15,1.6134
2024-05-16,1.628
2024-05-17,1.6073
2024-05-20,1.6136
2024-05-21,1.6129
2024-05-22,1.6052
2024-05-23,1.6085
2024-05-24,1.6375
2024-05-27,1.6612
2024-05-28,1.6552
2024-05-29,1.6567
2024-05-30,1.6531
2024-05-31,1.6444
2024-06-03,1.6457
2024-06-04,1.6461
2024-06-05,1.6319
2024-06-06,1.6105
2024-06-07,1.604
2024-06-11,1.599
2024-06-12,1.599
2024-06-13,1.597
2024-06-14,1.594
2024-06-17,1.604
2024-06-18,1.604
2024-06-19,1.599
2024-06-20,1.599
2024-06-21,1.5915
2024-06-24,1.5915
2024-06-25,1.5615
2024-06-26,1.544
2024-06-27,1.549
2024-06-28,1.539
2024-07-01,1.5565
2024-07-02,1.5365
2024-07-03,1.524
2024-07-04,1.529
2024-07-05,1.529
2024-07-08,1.579
2024-07-09,1.554
2024-07-10,1.5515
2024-07-11,1.539
2024-07-12,1.539
2024-07-15,1.5365
2024-07-16,1.529
2024-07-17,1.524
2024-07-18,1.5315
2024-07-19,1.5265
2024-07-22,1.488
2024-07-23,1.4705
2024-07-24,1.4655
2024-07-25,1.465
2024-07-26,1.4769
2024-07-29,1.45
2024-07-30,1.43
2024-07-31,1.4201
2024-08-01,1.4101
2024-08-02,1.3901
2024-08-05,1.3902
2024-08-06,1.4103
2024-08-07,1.4065
2024-08-08,1.4268
2024-08-09,1.4562
2024-08-12,1.5283
2024-08-13,1.5008
2024-08-14,1.5059
2024-08-15,1.5211
2024-08-16,1.5341
2024-08-19,1.5406
2024-08-20,1.5535
2024-08-21,1.5443
2024-08-22,1.5211
2024-08-23,1.4973
2024-08-26,1.5042
2024-08-27,1.5073
2024-08-28,1.4963
2024-08-29,1.4912
2024-08-30,1.49
2024-09-02,1.465
2024-09-03,1.43
2024-09-04,1.455
2024-09-05,1.4475
2024-09-06,1.4352
2024-09-09,1.4152
2024-09-10,1.3552
2024-09-11,1.3285
2024-09-12,1.326
2024-09-13,1.326
2024-09-14,1.331
2024-09-18,1.366
2024-09-19,1.391
2024-09-20,1.391
2024-09-23,1.3879
2024-09-24,1.4179
2024-09-25,1.3879
2024-09-26,1.4029
2024-09-27,1.4379
2024-09-29,1.4379
2024-09-30,1.3679
2024-10-08,1.3729
2024-10-09,1.4279
2024-10-10,1.4379
2024-10-11,1.4429
2024-10-12,1.4179
2024-10-14,1.4479
2024-10-15,1.4504
2024-10-16,1.4504
2024-10-17,1.4279
2024-10-18,1.4329
2024-10-21,1.4354
2024-10-22,1.4349
2024-10-23,1.4254
2024-10-24,1.4302
2024-10-25,1.4169
2024-10-28,1.407
2024-10-29,1.4367
2024-10-30,1.4461
2024-10-31,1.426
2024-11-01,1.4065
